Supermarket,Category,Product Title,Product Price,Base Price,Per unit,Product URL
Woolworths,Meat and Seafood,Woolworths Classic Angus Beef Sausages 6 pack,9.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/357418/woolworths-classic-angus-beef-sausages
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Breast Schnitzels 500g,10.5,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/114253/woolworths-rspca-approved-chicken-breast-schnitzels
Woolworths,Meat and Seafood,Woolworths Chicken Bulk Schnitzels 1.5kg,15.5,10.33,1KG,https://www.woolworths.com.au/shop/productdetails/134036/woolworths-chicken-bulk-schnitzels
Woolworths,Meat and Seafood,Moira Mac's Chicken Breast Supreme Sliced From The Deli Per kg,21.0,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/929867/moira-mac-s-chicken-breast-supreme-sliced-from-the-deli
Woolworths,Meat and Seafood,Riverland Ham Shaved From The Deli Per kg,18.0,18.0,1KG,https://www.woolworths.com.au/shop/productdetails/67297/riverland-ham-shaved-from-the-deli
Woolworths,Meat and Seafood,Primo Roast Beef Shaved From The Deli Per kg,36.0,36.0,1KG,https://www.woolworths.com.au/shop/productdetails/67329/primo-roast-beef-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Lamb Forequarter Chops 4 - 6 Pieces 800g - 1.3kg,27.3,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/765062/woolworths-lamb-forequarter-chops-4-6-pieces
Woolworths,Meat and Seafood,Woolworths Buffalo Wings RSPCA Approved Chicken per kg,9.0,9.0,1KG,https://www.woolworths.com.au/shop/productdetails/749838/woolworths-buffalo-wings-rspca-approved-chicken
Woolworths,Meat and Seafood,Woolworths 4 Classic Beef Burgers 500g,8.5,17.0,1KG,https://www.woolworths.com.au/shop/productdetails/899857/woolworths-4-classic-beef-burgers-patties
Woolworths,Meat and Seafood,Woolworths Beef Lasagne 2kg,14.0,0.7,100G,https://www.woolworths.com.au/shop/productdetails/194648/woolworths-beef-lasagne-null
Woolworths,Meat and Seafood,Woolworths Beef Scotch Fillet Steak Medium 280g - 800g,35.2,44.0,1KG,https://www.woolworths.com.au/shop/productdetails/675654/woolworths-beef-scotch-fillet-steak-medium
Woolworths,Meat and Seafood,Woolworths 10 Pork Sausages 550g,5.9,10.73,1KG,https://www.woolworths.com.au/shop/productdetails/901650/woolworths-10-pork-sausages
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Thigh Fillets Skinless Tray 1kg - 1.7kg,23.8,14.0,1KG,https://www.woolworths.com.au/shop/productdetails/727461/woolworths-rspca-approved-chicken-thigh-fillets-skinless-tray
Woolworths,Meat and Seafood,Woolworths Diced Beef Casserole 500g,12.0,24.0,1KG,https://www.woolworths.com.au/shop/productdetails/675483/woolworths-diced-beef-casserole
Woolworths,Meat and Seafood,Peppercorn Extra Lean Beef Burger 6 Pack 500g,10.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/178137/peppercorn-extra-lean-beef-burger-6-pack
Woolworths,Meat and Seafood,Macro Grass Fed Beef Rump Steak 300g,12.5,41.67,1KG,https://www.woolworths.com.au/shop/productdetails/285093/macro-grass-fed-beef-rump-steak
Woolworths,Meat and Seafood,Woolworths Southern Style Buttermilk Chicken Thigh Fillet Burgers 350g,9.0,25.71,1KG,https://www.woolworths.com.au/shop/productdetails/134085/woolworths-southern-style-buttermilk-chicken-thigh-fillet-burgers
Woolworths,Meat and Seafood,Woolworths BBQ Lamb Kebabs With Mint & Honey 450g,8.5,18.89,1KG,https://www.woolworths.com.au/shop/productdetails/733123/woolworths-bbq-lamb-kebabs-with-mint-honey
Woolworths,Meat and Seafood,Woolworths Chicken RSPCA Approved Leg Fillet Min. 120g per kg,12.0,12.0,1KG,https://www.woolworths.com.au/shop/productdetails/6018432/woolworths-chicken-rspca-approved-leg-fillet-min-120g
Woolworths,Meat and Seafood,Primo Roast Beef Sliced From The Deli Per kg,36.0,36.0,1KG,https://www.woolworths.com.au/shop/productdetails/961761/primo-roast-beef-sliced-from-the-deli
Woolworths,Meat and Seafood,Woolworths Lamb Leg Steak 270g,8.0,29.63,1KG,https://www.woolworths.com.au/shop/productdetails/675490/woolworths-lamb-leg-steak
Woolworths,Meat and Seafood,Woolworths Lamb Strips Souvlaki Style 300g,9.0,30.0,1KG,https://www.woolworths.com.au/shop/productdetails/251348/woolworths-lamb-strips-souvlaki-style
Woolworths,Meat and Seafood,Woolworths Classic Cumberland Pork Sausages 500g,9.0,18.0,1KG,https://www.woolworths.com.au/shop/productdetails/83728/woolworths-classic-cumberland-pork-sausages
Woolworths,Meat and Seafood,Woolworths 4 Angus Quarter Pound Beef Burgers 454g,9.0,19.82,1KG,https://www.woolworths.com.au/shop/productdetails/901703/woolworths-4-angus-quarter-pound-beef-burgers
Woolworths,Meat and Seafood,Woolworths Cook Boneless Butterflied Chicken Greek Style 850g - 1.25kg,16.25,13.0,1KG,https://www.woolworths.com.au/shop/productdetails/935707/woolworths-cook-boneless-butterflied-chicken-greek-style
Woolworths,Meat and Seafood,Woolworths Pork Loin Chop Medium 200g - 600g,9.6,16.0,1KG,https://www.woolworths.com.au/shop/productdetails/675623/woolworths-pork-loin-chop-medium
Woolworths,Meat and Seafood,Woolworths Beef Eye Fillet Thick Cut Steak 320g,24.5,76.56,1KG,https://www.woolworths.com.au/shop/productdetails/82224/woolworths-beef-eye-fillet-thick-cut-steak
Woolworths,Meat and Seafood,Primo Shortcut Rindless Bacon 200g,6.8,34.0,1KG,https://www.woolworths.com.au/shop/productdetails/390879/primo-shortcut-rindless-bacon-rindless
Woolworths,Meat and Seafood,Moira Mac's Chicken Breast Supreme Shaved From The Deli Per kg,21.0,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/67299/moira-mac-s-chicken-breast-supreme-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Pork Sizzle Steak 400g,8.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/680992/woolworths-pork-sizzle-steak
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Thigh Skinless Fillets Small 550g  -  650g,11.38,17.5,1KG,https://www.woolworths.com.au/shop/productdetails/118971/woolworths-rspca-approved-chicken-thigh-skinless-fillets-small
